COMMON NAME,SCIENTIFIC NAME,AOU CODE,PEI,ATL CAN,ME,MENEW,NH,MA,RI,RINEW,CT,CTNEW,NY,NJ,NJNEW,DE,DENEW,MD,MDNEW,VA,NC,NCNEW,SC,SCNEW,GA,GANEW,ATL FL,FLNEW,GULF FL,PA,PANEW,VT,WV,COMMENTS
Leach's Storm-petrel,Oceanodroma leucorhoa,LESP,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Manx Shearwater,Puffinus puffinus,MASH,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,Breeding pop in MA is believed to be extirpated.
Northern Gannet,Sula bassanus,NOGA,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masked Booby,Sula dactylatra,MABO,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Brown Pelican,Pelecanus occidentalis,BRPE,,,,,,,,,,,,,"Limited historical reports, unclear if legit",,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,
American White Pelican,Pelecanus erythrorhynchos,AWPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhinga,Anhinga anhinga,ANHI,,,,,,,,,,,,,,,,,X - 1st nesting 2022,X,X,X,X,X,X,X,X,X,X,,,,,
Great Cormorant,Phalacrocorax carbo,GRCO,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double-crested Cormorant,Nannopterum auritum,DCCO,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,Note: Atlantic subspecies - N. a. auritum; Florida subspecies - N. a. floridanus
Neotropic Cormorant,Nannopterum brasilianum,NECO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnificent Frigatebird,Fregata magnificens,MAFR,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Common Eider,Somateria mollissima,COEI,x (insignificant #s),X,X,X,X,X,,X,,X,X?,,,,,,,,,,,,,,,,,,,,,Known to nest in large colonies on offshore islands; confined to the marine environment.
Laughing Gull,Larus atricilla,LAGU,,,X,X,X,X,,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,rarely,,,
Herring Gull,Larus argentatus,HERG,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,rarely,,,
Great Black-backed Gull,Larus marinus,GBBG,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Ring-billed Gull,Larus delawarensis,RBGU,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,rarely,,,
Glaucous Gull ,Larus hyperboreus,GLGU,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-headed Gull,Larus ridibundus,BHGU,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-legged Kittiwake ,Rissa tridactyla,BLKI,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Tern,Sterna paradisaea,ARTE,X,X,X,X,,X,,,X?,,,,,,,,,,,,,,,,,,,,,,,
Black Tern,Chlidonias niger,BLTE,,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,
Bridled Tern,Onychoprion anaethetus,BRTE,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Caspian Tern,Sterna caspia,CATE,,X,,,,,,,,,X,X,X,,,,,X,X,X,,,,,,X,X,,,,,
Common Tern,Sterna hirundo,COTE,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,X,,,Not known if Atlantic and Gulf breeding populations are distinct sub-species
Forster's Tern,Sterna fosrteri,FOTE,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,
Gull-billed Tern,Sterna nilotica,GBTE,,,,,,,,,,,X,X,X,X?,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,Same sub-species
Least Tern,Sterna antillarum,LETE,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,rarely,,,
Roseate Tern,Sterna dougallii,ROTE,,X,X,X,,X,,X,,X,X,,X,,,,X,,,,,,,,,X,X,,,,,ROST colony in the FL keys; Caribbean breeder.  All the same sub-species.
